Filename                                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
libs/core/include/sen/core/obj/object_mux.h                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/object_provider.h                          22                 2    90.91%           7                 0   100.00%          30                 0   100.00%          10                 2    80.00%
libs/core/include/sen/core/obj/object_source.h                             7                 0   100.00%           6                 0   100.00%          12                 0   100.00%           0                 0         -
libs/core/include/sen/core/obj/subscription.h                             15                 1    93.33%           7                 1    85.71%          39                 1    97.44%           8                 1    87.50%
libs/core/src/base/assert.cpp                                             42                28    33.33%          10                 2    80.00%          98                53    45.92%          12                 3    75.00%
libs/core/src/base/checked_conversions.cpp                                 7                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/src/base/hash32.cpp                                            492               111    77.44%          22                 1    95.45%         500                87    82.60%         271                68    74.91%
libs/core/src/base/memory_block.cpp                                        8                 0   100.00%           2                 0   100.00%          24                 0   100.00%           4                 0   100.00%
libs/core/src/base/result_impl.cpp                                        17                 8    52.94%           1                 0   100.00%          12                 8    33.33%           6                 5    16.67%
libs/core/src/base/timestamp.cpp                                          16                 0   100.00%           6                 0   100.00%          61                 0   100.00%           8                 0   100.00%
libs/core/src/base/uuid.cpp                                               95                 1    98.95%           6                 0   100.00%         124                 1    99.19%          72                 6    91.67%
libs/core/src/io/input_stream.cpp                                         12                 0   100.00%           2                 0   100.00%          23                 0   100.00%           6                 0   100.00%
libs/core/src/io/util.cpp                                                456                78    82.89%         140                 9    93.57%         986                88    91.08%         233                41    82.40%
libs/core/src/lang/error_reporter.cpp                                     19                 0   100.00%           3                 0   100.00%          41                 0   100.00%          12                 0   100.00%
libs/core/src/lang/fom_document_set.cpp                                  572                83    85.49%          80                 2    97.50%        1472               281    80.91%         482               121    74.90%
libs/core/src/lang/fom_document_set.h                                      4                 1    75.00%           4                 1    75.00%           4                 1    75.00%           0                 0         -
libs/core/src/lang/fom_parser.cpp                                          9                 1    88.89%           6                 1    83.33%          21                 1    95.24%           2                 0   100.00%
libs/core/src/lang/stl_parser.cpp                                        426                14    96.71%          55                 0   100.00%        1003                39    96.11%         351                43    87.75%
libs/core/src/lang/stl_resolver.cpp                                      347                34    90.20%          59                 2    96.61%         913               107    88.28%         292                53    81.85%
libs/core/src/lang/stl_scanner.cpp                                       163                 7    95.71%          20                 0   100.00%         395                31    92.15%         152                19    87.50%
libs/core/src/lang/stl_token.cpp                                         236                 1    99.58%           4                 0   100.00%         360                 1    99.72%         232                 1    99.57%
libs/core/src/lang/string_utils.cpp                                       35                 0   100.00%           4                 0   100.00%          74                 0   100.00%          26                 0   100.00%
libs/core/src/lang/vm.cpp                                               1095               741    32.33%          79                14    82.28%         654                79    87.92%         608               384    36.84%
libs/core/src/meta/alias_type.cpp                                         14                 0   100.00%           8                 0   100.00%          17                 0   100.00%           6                 0   100.00%
libs/core/src/meta/callable.cpp                                           35                 1    97.14%          12                 0   100.00%          57                 2    96.49%          20                 1    95.00%
libs/core/src/meta/class_type.cpp                                        256                 9    96.48%          51                 1    98.04%         544                17    96.88%         204                10    95.10%
libs/core/src/meta/custom_type.cpp                                         2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
libs/core/src/meta/enum_type.cpp                                          41                 0   100.00%          11                 0   100.00%          83                 0   100.00%          26                 0   100.00%
libs/core/src/meta/event.cpp                                              15                 0   100.00%           8                 0   100.00%          19                 0   100.00%           8                 0   100.00%
libs/core/src/meta/method.cpp                                             26                 2    92.31%          11                 1    90.91%          29                 4    86.21%           8                 4    50.00%
libs/core/src/meta/native_types.cpp                                       10                 0   100.00%           6                 0   100.00%          26                 0   100.00%           0                 0         -
libs/core/src/meta/optional_type.cpp                                      14                 0   100.00%           8                 0   100.00%          17                 0   100.00%           6                 0   100.00%
libs/core/src/meta/property.cpp                                           29                 0   100.00%          22                 0   100.00%          80                 0   100.00%           6                 0   100.00%
libs/core/src/meta/quantity_type.cpp                                      54                 3    94.44%          28                 2    92.86%          72                 7    90.28%          22                 2    90.91%
libs/core/src/meta/sequence_type.cpp                                      16                 0   100.00%          10                 0   100.00%          19                 0   100.00%           6                 0   100.00%
libs/core/src/meta/struct_type.cpp                                        51                 0   100.00%          14                 0   100.00%         106                 0   100.00%          36                 0   100.00%
libs/core/src/meta/time_types.cpp                                         17                 1    94.12%           8                 1    87.50%          31                 1    96.77%           0                 0         -
libs/core/src/meta/type.cpp                                               47                 0   100.00%           6                 0   100.00%          80                 0   100.00%          32                 0   100.00%
libs/core/src/meta/type_match.cpp                                        224                 5    97.77%         102                 3    97.06%         495                11    97.78%         112                 7    93.75%
libs/core/src/meta/type_registry.cpp                                      88                 5    94.32%          30                 0   100.00%         348                30    91.38%          55                 7    87.27%
libs/core/src/meta/type_visitor.cpp                                       28                 0   100.00%          28                 0   100.00%          28                 0   100.00%           0                 0         -
libs/core/src/meta/unit.cpp                                               55                 3    94.55%          14                 0   100.00%         103                 3    97.09%          48                 5    89.58%
libs/core/src/meta/unit_registry.cpp                                      35                 7    80.00%          11                 0   100.00%         161                37    77.02%          26                 7    73.08%
libs/core/src/meta/utils.h                                                29                 0   100.00%           6                 0   100.00%          50                 0   100.00%          16                 0   100.00%
libs/core/src/meta/var.cpp                                               122                 0   100.00%          76                 0   100.00%         286                27    90.56%          36                 0   100.00%
libs/core/src/meta/variant_traits.cpp                                     17                 1    94.12%           4                 0   100.00%          50                 3    94.00%          10                 2    80.00%
libs/core/src/meta/variant_type.cpp                                       33                 0   100.00%          10                 0   100.00%          61                 0   100.00%          22                 0   100.00%
libs/core/src/obj/callback.cpp                                             4                 0   100.00%           2                 0   100.00%          10                 0   100.00%           2                 1    50.00%
libs/core/src/obj/connection_guard.cpp                                    23                 0   100.00%           7                 0   100.00%          37                 0   100.00%           4                 0   100.00%
